#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
Dinophysistoxin 1	C16870	181.9374825	207.7837833	160.9409216	170.7960941	193.4375553	162.2293696	0	0	0	0	0	0	0	0	0	0	0	0
Pectenotoxin 1	C16871	1003.330743	935.9895782	963.6089703	1030.744013	968.8824669	968.4044275	164.713443	203.8064843	175.1890992	215.7331765	208.7127504	178.9267596	0	0	0	0	0	0
Cryptophycin	C16877	1938.374224	1763.111965	1578.63207	1776.897582	1715.960131	1735.002675	0	6.263523796	0	3.193595416	1.807817415	0	1389.888815	1216.533732	856.7865196	923.0872678	921.1489046	1157.523321
Chavicol	C16930	55.17415344	48.28034318	56.95767294	47.09253222	47.61159948	68.02529721	298.8195707	485.0023656	248.5540772	306.280205	247.1095904	350.4225742	1320.045928	1531.097457	1141.32326	905.1372562	1647.562055	1583.923079
Dehydrocurdione	C16949	1.504500192	2.287455857	3.780759088	3.946630588	7.972872946	4.812732389	269.5806249	155.2124218	372.7088835	315.3919987	172.4323203	99.75471664	455.5354335	514.8961628	501.6873837	582.9633871	866.0824091	793.770308
Eucarvone	C16955	34.98833155	28.9841187	25.00368849	30.01531769	29.7924817	28.78426378	97.62539703	97.87362401	97.82640245	110.6316223	97.28950645	105.7924704	382.6710886	358.9432169	413.0255513	416.6042304	370.9377597	402.4551509
Furanodiene	C16959	31.53594668	45.8372304	29.47777401	25.35416379	71.11295786	51.9042777	280.0142929	138.7103394	323.8586382	143.1904766	119.0824291	209.6968051	863.1988072	330.1033537	577.6561702	299.7123963	743.9809325	464.4677959
Germacrone	C16966	96.44219823	109.4962076	108.2836705	99.2759576	99.15978649	115.3416835	62.19553135	71.71951691	66.08576353	83.91584274	80.69879017	49.98867621	93.6526454	90.54186912	96.16450589	58.03045684	52.9438218	233.2281812
Shanzhiside	C17066	554.5848075	542.6799801	569.4777776	592.9730757	505.9733478	616.2899833	531.0732957	486.1998783	436.4172686	447.5702134	499.2704249	462.9343294	142.7504657	169.0325508	161.0439632	146.2522222	81.56830795	150.1820327
2-(6'-methylthio)hexylmalate	C17226	169.2040348	200.0688066	190.7505129	192.8827248	165.9814934	197.1107545	426.0263923	567.243626	544.5137148	626.2382802	606.8826588	565.9380238	72.33529748	55.47678975	77.32821778	90.11356455	57.55957952	57.58194276
"3beta,7alpha-Dihydroxy-5-cholestenoate"	C17335	376.0480488	388.2087113	408.4410081	377.704376	389.443377	393.2050081	309.5430156	330.6585319	321.7151046	328.7834878	347.2962039	301.1687265	3224.127306	3554.374675	3801.519647	3346.097943	2517.489433	2664.356099
Kurarinone	C17446	44.0895327	48.76816727	51.55471824	42.18324957	42.53195513	51.37732889	42.5448651	39.92002606	36.86730401	45.75767632	38.30523768	43.6235205	374.030008	383.036111	345.1859255	331.5315764	291.4441488	369.4742842
Sec-o-Glucosylhamaudol	C17484	886.5426678	981.0821283	904.2848635	855.9064257	897.1899593	956.6900009	273.050759	229.3461435	437.5788695	412.5786245	500.3579865	402.2525314	34.403196	29.5635749	61.59523624	17.8322683	11.81073047	102.377014
Furanogermenone	C17488	18.84452531	19.87770767	23.07018099	16.58694272	22.45856098	19.42829434	0	0	0	0	0	0	0	0	0	0	0	0
(-)-Pinoresinol	C17529	565.2971138	645.5081474	648.2173871	587.967961	613.0252463	658.9876252	117.0884416	116.4831191	87.88075585	148.1743491	101.9849127	82.77375517	339.6813422	171.3965572	115.4399247	119.1741227	60.54123681	224.2923907
Cauloside C	C17547	295.3350093	218.2891988	184.731612	537.157744	251.6041286	224.6098168	0	0	0	0	7.589591977	0	13.40548027	34.04655675	28.33737702	9.945719583	30.27582379	18.50537666
Cinncassiol C2	C17642	246.6662506	274.2427176	265.8731032	237.9129913	265.9626127	279.6020109	156.0397759	205.2529809	194.5274211	278.2744268	240.5867373	241.1539977	1261.755897	1391.224643	1360.047675	1120.898984	761.627617	974.8643621
Isolithocholic acid	C17658	81.22802198	98.63235814	84.76197944	77.0632594	100.885853	88.47170634	0	0	0	0.000141371	0	0	0	0	0	0	0	0
Geneticin	C17703	106.4850149	118.2016887	141.7702782	118.7764122	120.0589727	140.0186443	109.5716167	117.9187828	179.3305001	195.208101	173.7643816	166.1381318	115.2689423	235.8447425	294.6211017	190.693347	34.90762906	165.7842004
Curcumin monoglucoside	C17749	632.8524149	628.1639763	569.9092576	527.6250472	576.6526647	594.5087494	204.4386485	241.7214279	219.9393889	268.9258355	298.365823	331.6236297	40.33747535	135.8182461	213.2844662	55.72790537	65.3147925	165.5369367
Cyclodopa glucoside	C17751	885.2006403	911.6200926	937.5404269	856.6631359	866.8154096	942.3173501	351.6351705	395.947204	294.6017284	293.324991	363.5324457	276.4838835	688.0895091	796.5248436	873.3088761	697.9693404	378.6967984	584.9475251
Dactimicin	C17979	121.9444665	121.0620151	132.7892228	122.0792716	126.7919303	141.0770515	565.4534402	555.5860918	535.0277197	576.8108161	538.0807616	574.6265666	2172.313729	2180.050363	2274.397064	2379.300895	2199.701243	2014.348927
PL	C18210	125.7515348	138.9696967	149.3262283	127.4087997	123.8837827	126.3173766	9.411718877	14.64655727	29.61733245	26.46698135	29.98452896	22.48512246	29.96232876	40.1273133	42.9138201	41.88966354	5.351732568	30.02200267
16-feruloyloxypalmitate	C18217	702.1983029	753.9291859	762.2786249	682.2641027	729.6409188	765.7898835	395.8293566	396.1838463	447.9126989	487.5943139	443.625169	372.6136907	2887.555309	3101.5626	3144.908343	2639.808294	1894.494245	2691.085517
16-Hydroxyhexadecanoic acid	C18218	1007.113025	1229.169598	984.3832896	851.2410279	712.7055882	856.6958189	5978.630765	4450.933907	4752.312526	5750.067484	4899.001399	4704.739993	9280.108198	12080.16176	19467.60242	15522.21959	14622.91953	15016.00289
Calcitroic acid	C18230	11931.3774	12460.79728	13351.76452	11602.88076	11917.1825	12665.65588	42918.66824	40848.47605	39823.56995	41546.62115	38869.0993	38675.20939	133347.6684	137647.933	134243.0969	143942.2083	136910.5301	126129.116
PIPERONYL BUTOXIDE	C18880	1104.777916	732.2934969	614.8722482	1328.295755	874.9924159	662.8306561	259.3269899	204.1332757	248.8723618	267.2627571	256.9182124	256.8887314	425.8125389	568.5611662	426.9091045	220.3410796	101.8346788	396.0213506
Mipafox	C19008	164.3266669	157.8017761	167.6366201	166.1448298	167.1877237	147.3490392	74.71272319	100.3436323	94.80748156	90.84912491	94.43785804	94.94382451	30.59591161	30.09970233	34.50015454	31.81737943	16.09062868	27.21578919
Fusarin C	C19243	37.94879101	48.32980943	44.67229201	41.63122638	38.94337498	44.98855433	37.09452491	43.88014889	75.82238959	77.81401871	112.4251714	89.82898608	0	0	0	0	0	0
Cyclochlorotine	C19379	65.16717793	52.13197217	63.61480354	59.61648125	56.80736211	69.22636516	139.247535	117.3727315	156.6890964	157.1877539	157.3643166	165.3242856	441.3158565	479.3528638	399.4358985	535.3619326	316.519119	486.4070417
5-(3-Pyridyl)-2-hydroxytetrahydrofuran	C19578	104.2233428	100.4576851	78.39477982	97.32907974	85.41242293	92.22009037	57.50439403	68.59670209	64.67487046	64.08866271	63.09221581	63.36714222	247.5605764	233.7653518	236.6724778	272.3115513	218.3756506	242.9678137
22-hydroxydocosanoate	C19623	15.44091962	74.86138317	55.13549074	25.55583369	46.96212844	29.52689604	145.5615115	106.005737	63.89238603	136.2920875	84.77523749	95.6800017	439.9002284	350.3297418	432.1187436	612.5458735	348.4074488	641.0243465
Docosanedioic acid	C19625	34.35455575	34.78261518	37.76231438	37.57573747	36.4908479	38.1024413	191.173022	178.9822428	185.2910156	166.0236459	153.8258066	181.9082125	644.6010055	609.5109243	641.8025061	625.6976659	606.7799051	587.6750054
Oleamide	C19670	1183679.238	1035907.17	1070194.777	1169646.635	1175098.317	1233477.863	3613493.187	3944753.655	3118273.295	4031642.641	3660814.001	3206123.879	12362389.49	15333172.63	13424969.37	13969246.04	15739248.24	12995572.43
Contignasterol	C19902	440.5041282	453.1557429	502.452406	433.8703489	469.2778443	441.0766824	326.2108215	348.3437337	334.2366577	368.4502527	366.0667435	285.5326878	2166.810209	2488.718246	2540.273322	2330.569528	1678.192305	1850.262537
N-Acetyl-a-neuraminic acid	C19909	30.1151711	30.75994444	61.69832336	36.25694104	29.05218494	30.76384056	675.104169	1042.791229	725.2666613	795.9386841	814.6197753	1066.705237	7.985574146	0.229727761	0	0	2.849945466	8.381356948
Cytochalasin B	C19954	2.982592411	3.111065986	2.120367511	5.405483454	3.864920556	2.361827191	0	0	0	0	0	0	0	0	0	0	0	0
Strophanthidin	C19988	354.4454083	384.0231635	354.5925395	343.8394768	336.9645323	344.8271592	117.4791726	120.8780752	132.6167868	126.2906744	119.8710882	106.5434733	916.7592922	984.490916	924.1669757	937.6402105	791.4260202	958.4843096
Taxine B	C19989	20.26012142	20.45831837	27.74515067	19.37901679	24.62146312	24.24193002	72.29235181	90.60013831	97.55696759	78.37411657	54.43625868	106.9043427	349.0599957	257.263024	376.0241565	360.2636416	437.6599817	369.4166935
Aconine	C19990	217.4374302	196.6910954	178.8627422	220.3960725	192.5060705	208.8624523	212.184891	210.718686	220.8291428	267.5475591	244.0634203	219.3223199	935.5479903	805.0612747	863.3549111	774.2340864	578.3146812	682.2820488
Pectenotoxin 2	C20012	167.0328927	167.0517381	133.6943268	183.3510937	149.1801642	166.7565776	0	0	0	0	1.757299037	0	0	0	0	0	0	0
Arenobufagin	C20035	464.3499176	500.7618424	514.3668537	433.6428382	483.0850504	510.1266477	319.9439739	299.0435391	346.7110822	374.0285835	329.5759415	351.8143409	2687.086722	2604.051187	2726.95277	2346.096885	1771.688033	2508.273384
Penitrem A	C20070	42.60394729	52.05378834	62.91052849	66.03056748	67.91544614	48.66396553	32.72740898	38.62902825	50.12033434	50.24605145	92.19016958	99.02350072	0	0	0	0	0	6.068893733
8-Oxoguanine	C20155	31.98225569	31.11968461	31.34517739	31.84413051	38.44937338	28.02934485	70.37427763	101.3350152	182.0730776	154.4135391	227.5356118	214.3692076	31.31940213	33.02346229	37.35844979	33.02978404	20.4738075	27.45861126
Coniferyl acetate	C20225	94.80172283	98.75413251	94.49779333	91.34920314	98.40122079	93.43398144	68.60994385	71.04230442	88.62478774	94.33037068	107.9397881	105.8242544	187.5925843	209.1806804	215.489287	175.9593477	110.784225	89.24672987
(Z)-2-methyl-peroxyaminoacrylate	C20250	48.7467451	46.01235483	58.62348375	57.19063365	47.94695427	52.97719646	3.554837544	10.24258643	43.03032006	22.71948947	42.36911377	36.70354052	0	6.274758954	0	7.193251926	0	0
Ethyl maltol	C20362	1419.968925	1449.372661	1451.800952	1484.357137	2158.589473	1406.229058	1494.104016	2018.893092	2642.900535	1991.389637	2511.572087	2458.093432	1025.548282	735.8702423	784.2532026	841.8551952	632.9616511	860.1863601
3-Methylcrotonylglycine	C20828	222.1465127	188.1042567	172.060934	190.5520826	188.3849469	210.0991433	324.1008994	354.0723793	413.810553	508.81273	323.573877	406.9513674	276.8278346	321.3923604	318.0758192	316.747454	197.3969426	237.7746604
Lovastatin acid	C21130	89.42724741	158.151494	159.4353096	37.48498673	42.17368602	113.9040202	0	0	0	0	0	0	0	0	0	0	0	0
Temsavir	C21558	11.33686948	4.482151073	4.242874065	9.698599273	11.48639989	15.9742041	573.3440188	447.6054378	527.0087432	441.0707129	390.3389114	394.9151811	1501.400299	1403.233404	1524.926024	1419.208083	1402.668716	1669.873243
4-Hydroxynonenal	C21642	8.150725978	9.358172102	6.613572534	12.29600229	17.51303142	10.1725648	37.82860556	51.57875081	19.33259404	42.36827328	39.96157086	42.79356317	110.7315557	241.3918056	168.2241337	297.9461454	168.7228122	137.1846038
Beta-Acetyldigoxin	C22190	92.44625517	102.4929177	113.8729053	91.41195396	93.30113398	100.0505806	0	0	0	0	0	0	0	0	0	0	0	0
