#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
Canin	C09354	68.83949745	74.96068584	77.36421721	64.57463572	79.72888321	73.76876277	46.14621374	49.9880512	55.62970049	49.43512125	48.6075786	46.43567081	28.35610007	4.913247896	23.47825094	10.9822752	3.265051414	295.8091714
Enhydrin	C09405	22.16388367	20.75312081	15.78544157	25.72127137	22.60323487	17.66034823	370.0970004	410.023068	466.2929084	472.9635751	380.3859342	472.9579808	0	0	0	0	0	0
Lactucin	C09489	131.5957844	137.1953335	156.688623	119.2800161	140.8274806	158.0658351	0	0	0	0	4.166554824	0	0	0	0	0	0	7.041666473
Lactupicrin	C09490	945.6428328	903.6539302	942.6401245	930.060798	944.3019862	1004.247104	324.2172212	308.1631462	382.8901944	443.3778593	432.6687932	398.5281948	516.6485899	613.7385386	542.2174261	496.6249963	409.4408027	624.679208
Proazulene	C09499	331.394137	321.8675673	352.356898	322.3103877	355.3127166	326.8201231	45.36821694	55.49541137	125.6977595	135.9186542	138.0103601	138.9417118	13.18678382	5.494164298	9.546208605	17.76560656	4.026788913	16.95407239
Gardenoside	C09779	304.4738902	336.6743894	303.626727	262.7852117	305.5509477	308.7834004	201.0017867	205.2973428	166.7860316	204.9760079	200.0646968	204.0876534	919.7413407	1294.237598	1217.702606	1476.640371	712.3780975	1227.421439
Naringin dihydrochalcone	C09789	239.5688047	212.6876139	235.0864421	211.9553039	238.2191271	280.0465091	3.956285461	11.32379874	58.44927507	51.00345132	56.06022871	44.60655468	0	5.869308891	0	0	0	0
Verbenalin	C09802	153.4283259	151.8858391	153.7293894	147.2377572	166.686052	162.147178	58.64235678	46.82636087	88.94442756	98.32989874	91.40256233	85.53731872	226.1686679	308.4759658	213.1120743	222.2787877	117.4025362	299.5438049
"(S,E)-Zearalenone"	C09981	503.4982498	454.3084049	483.9763697	493.9867317	498.6431931	466.9280668	121.6520529	120.052535	197.9092142	178.1104053	244.8928423	193.1888781	38.33920261	43.23985778	36.58023567	51.62163076	18.24907557	49.74954385
Kanokoside A	C09993	5366.219095	5341.864002	6769.921111	6478.544878	6610.89031	6226.852114	6149.902936	8057.601576	7548.687171	10204.93447	8231.768366	8696.068284	22.4588683	39.74114142	36.70310277	21.74709592	45.68625809	15.32900521
Americine	C09996	295.6834805	295.9350564	310.5992671	284.9321407	285.4526673	312.6412169	23.17460294	29.98288275	20.18543874	22.87815617	26.31823363	19.04449139	562.5797237	630.1339061	648.129611	582.3394011	458.2139771	591.630672
Nummularine A	C10011	96.62011985	148.1183256	117.4855616	111.8604829	106.7382971	117.6381817	0.955161617	0.940359843	0	7.598577981	1.534475505	0	282.4462825	268.6244015	353.9688544	419.9784511	195.5529166	339.8352835
Negletein 6-[rhamnosyl-(1->2)-fucoside]	C10023	389.3002258	379.7607631	375.2349421	346.2347538	296.4225848	388.0399404	75.47325423	93.30311169	139.8095113	43.44777186	258.8412608	132.019152	433.4481458	605.2290246	499.5334688	481.0163769	136.4320816	473.2387305
Myricitrin	C10108	181.6326539	168.9485382	177.7891657	191.0969726	174.3417745	191.286526	1228.039301	1229.480987	1368.190908	1507.426637	1531.767192	1311.119269	0	0	0	0.185587763	0	0
